Captile,City Name,Region,Subregion,population
Bishkek,Kyrgyzstan,Asia,Central Asia,6047800
Vientiane,Lao People's Democratic Republic,Asia,South-Eastern Asia,6492400
Riga,Latvia,Europe,Northern Europe,1961600
Beirut,Lebanon,Asia,Western Asia,5988000
Maseru,Lesotho,Africa,Southern Africa,1894194
Monrovia,Liberia,Africa,Western Africa,4615000
Tripoli,Libya,Africa,Northern Africa,6385000
Vaduz,Liechtenstein,Europe,Western Europe,37623
Vilnius,Lithuania,Europe,Northern Europe,2872294
Luxembourg,Luxembourg,Europe,Western Europe,576200
,Macao,Asia,Eastern Asia,649100
Skopje,Macedonia (the former Yugoslav Republic of),Europe,Southern Europe,2058539
Antananarivo,Madagascar,Africa,Eastern Africa,22434363
Lilongwe,Malawi,Africa,Eastern Africa,16832910
Kuala Lumpur,Malaysia,Asia,South-Eastern Asia,31405416
Malé,Maldives,Asia,Southern Asia,344023
Bamako,Mali,Africa,Western Africa,18135000
Valletta,Malta,Europe,Southern Europe,425384
Majuro,Marshall Islands,Oceania,Micronesia,54880
Fort-de-France,Martinique,Americas,Caribbean,378243
Nouakchott,Mauritania,Africa,Western Africa,3718678
Port Louis,Mauritius,Africa,Eastern Africa,1262879
Mamoudzou,Mayotte,Africa,Eastern Africa,226915
Mexico City,Mexico,Americas,Central America,122273473
Palikir,Micronesia (Federated States of),Oceania,Micronesia,102800
Chișinău,Moldova (Republic of),Europe,Eastern Europe,3553100
Monaco,Monaco,Europe,Western Europe,38400
Ulan Bator,Mongolia,Asia,Eastern Asia,3093100
Podgorica,Montenegro,Europe,Southern Europe,621810
Plymouth,Montserrat,Americas,Caribbean,4922
Rabat,Morocco,Africa,Northern Africa,33337529
Maputo,Mozambique,Africa,Eastern Africa,26423700
Naypyidaw,Myanmar,Asia,South-Eastern Asia,51419420
Windhoek,Namibia,Africa,Southern Africa,2324388
Yaren,Nauru,Oceania,Micronesia,10084
Kathmandu,Nepal,Asia,Southern Asia,28431500
Amsterdam,Netherlands,Europe,Western Europe,17019800
Nouméa,New Caledonia,Oceania,Melanesia,268767
Wellington,New Zealand,Oceania,Australia and New Zealand,4697854
Managua,Nicaragua,Americas,Central America,6262703
Niamey,Niger,Africa,Western Africa,20715000
Abuja,Nigeria,Africa,Western Africa,186988000
Alofi,Niue,Oceania,Polynesia,1470
Kingston,Norfolk Island,Oceania,Australia and New Zealand,2302
Pyongyang,Korea (Democratic People's Republic of),Asia,Eastern Asia,25281000
Saipan,Northern Mariana Islands,Oceania,Micronesia,56940
Oslo,Norway,Europe,Northern Europe,5223256
Muscat,Oman,Asia,Western Asia,4420133
Islamabad,Pakistan,Asia,Southern Asia,194125062
Ngerulmud,Palau,Oceania,Micronesia,17950
Ramallah,"Palestine, State of",Asia,Western Asia,4682467
Panama City,Panama,Americas,Central America,3814672
Port Moresby,Papua New Guinea,Oceania,Melanesia,8083700
Asunción,Paraguay,Americas,South America,6854536
Lima,Peru,Americas,South America,31488700
Manila,Philippines,Asia,South-Eastern Asia,103279800
Adamstown,Pitcairn,Oceania,Polynesia,56
Warsaw,Poland,Europe,Eastern Europe,38437239
Lisbon,Portugal,Europe,Southern Europe,10374822
San Juan,Puerto Rico,Americas,Caribbean,3474182
Doha,Qatar,Asia,Western Asia,2587564
Pristina,Republic of Kosovo,Europe,Eastern Europe,1733842
